,pn,description,actual_stock,ideal_stock,station,del_time,buy_freq,purchasing_method,min,max
176,H6SS,Clamp Clamp-Hose,46.0000,0,KEF,86,10,low_sale,0,0
177,BACR15BA6D6C,Rivet,17.0000,0,KEF,32,100,low_sale,0,0
178,BACC30AC10,Collar,139.0000,0,KEF,21,10,low_sale,0,0
179,757-1130-50-1,Sticker Security Seal 757-1130-50-1 (DWG: DR2123),0.0000,0,KEF,39,10,low_sale,0,0
180,M83248-1-016,Packing Packing-Preformed,74.0000,0,KEF,10,100,low_sale,0,0
181,NAS1149D0332K,Washer,867.0000,0,KEF,16,100,low_sale,0,0
182,MILPRF32014,Grease,5.0000,0,KEF,27,10,low_sale,0,0
183,KB27161,Seal    Ring-Fuel Filter,13.0000,0,KEF,40,10,low_sale,0,0
184,BACJ40A20-12,Jumper,11.0000,0,KEF,21,100,low_sale,0,0
185,CR3213-4-03,Rivet,750.0000,0,KEF,15,100,low_sale,0,0
186,BACB30NX8K9,Bolt,104.0000,0,KEF,19,100,low_sale,0,0
187,29620-20629,CUP,29.0000,0,KEF,25,10,low_sale,0,0
188,BACR15GF6D6,Rivet,13.0000,0,KEF,16,10,low_sale,0,0
189,MS9385-05,Packing Packing-Preformed,35.0000,0,KEF,9,100,low_sale,0,0
190,685AS15,Bulb    For Push-Buttons,379.0000,0,KEF,17,100,low_sale,0,0
191,MS9385-07,Packing,59.0000,0,KEF,11,100,low_sale,0,0
192,305766-1,"Plug Plug-Igniter, High Voltage Air Gap",1.0000,0,KEF,30,10,low_sale,0,0
193,MS29513-118,Packing,38.0000,0,KEF,10,100,low_sale,0,0
194,M83248-1-912,Packing,37.0000,0,KEF,5,100,low_sale,0,0
195,BAC27DCC351,Marker,1.0000,0,KEF,10,100,low_sale,0,0
196,80-702,Washer Washer-Counter Sunk,432.0000,0,KEF,14,10,low_sale,0,0
197,4811-276,Hose,26.0000,0,KEF,82,10,low_sale,0,0
198,BACB30VF3K9,Bolt,43.0000,0,KEF,12,100,low_sale,0,0
199,NAS602-16P,Screw,66.0000,0,KEF,21,100,low_sale,0,0
200,BACS38K6,"Strap,Tie Strap",218.0000,0,KEF,25,100,low_sale,0,0
201,654N0035-2,Kit     Filter Assy,8.0000,0,KEF,22,10,low_sale,0,0
202,BACW10BP3DP,Washer,351.0000,0,KEF,21,10,low_sale,0,0
203,4571,LAMP,13.0000,0,KEF,24,10,low_sale,0,0
204,BACS12FA3K7,Screw,1249.0000,0,KEF,21,100,low_sale,0,0
205,412N1130-5LACY,Strip   Compartment,6.0000,0,KEF,10,10,low_sale,0,0
206,BACB30NX8K4X,Bolt,123.0000,0,KEF,12,100,low_sale,0,0
207,BACW10BP5ACU,Washer,35.0000,0,KEF,41,100,low_sale,0,0
208,BACC10GU102,Clamp   Lh Side,48.0000,0,KEF,22,100,low_sale,0,0
209,69B42967-1,Filter Temp Sensor  Flight Deck,11.0000,0,KEF,31,10,low_sale,0,0
210,BLT3175,Bolt    Bihex Hd,11.0000,0,KEF,38,10,low_sale,0,0
211,MS28782-27,Ring,8.0000,0,KEF,8,100,low_sale,0,0
212,BACB30NW10K10X,Bolt,332.0000,0,KEF,20,10,low_sale,0,0
213,BACB30VF3K2,Bolt,2475.0000,0,KEF,29,100,low_sale,0,0
214,FI1100-01,Security Seal (Blue),15870.0000,0,KEF,74,100,low_sale,0,0
215,7553276,Filter Element,14.0000,0,KEF,18,10,low_sale,0,0
216,140T2423-605,Pane,47.0000,0,KEF,28,10,low_sale,0,0
217,MS21043-4,Nut,159.0000,0,KEF,15,100,low_sale,0,0
218,HT603A254X50,Foam (25.4 Mm Thick X 50 Mm Wide)  Bms1-68  Form 2,4.0000,0,KEF,36,10,low_sale,0,0
219,69-77135-1,Seal Fuel  10 X 18 Tank Access Door,40.0000,0,KEF,20,10,low_sale,0,0
220,HLX64621,Lamp,124.0000,0,KEF,11,10,low_sale,0,0
221,AS12800-912,Ring    Seal,71.0000,0,KEF,7,100,low_sale,0,0
222,KC2283,"Washer  Seal,Flat",8.0000,0,KEF,21,10,low_sale,0,0
223,10-60754-319,Seal,39.0000,0,KEF,25,10,low_sale,0,0
224,BACB30VF3K5,Bolt,306.0000,0,KEF,16,100,low_sale,0,0
225,N140N2138-1,Pane Outer Passenger Window,47.0000,0,KEF,38,10,low_sale,0,0
226,BACB30NW6K9X,Hi-Lock,264.0000,0,KEF,9,100,low_sale,0,0
227,SNP3410K2,Clamp,15.0000,0,KEF,34,10,low_sale,0,0
228,0000565,Velcro Hook 50mm Brown Adhesive,5684.0000,0,KEF,178,100,low_sale,0,0
229,E01001631519925,Velcro Loop 16mm Grey,392.0000,0,KEF,363,10,low_sale,0,0
230,BACB30NM3K6,Bolt,359.0000,0,KEF,10,10,low_sale,0,0
231,MS28774-122,Ring,61.0000,0,KEF,6,10,low_sale,0,0
232,68-1119,Packing Mwl Brakes,192.0000,0,KEF,37,10,low_sale,0,0
233,2024T3-080,Aluminum Aluminum Sheet,140.0000,0,KEF,30,10,low_sale,0,0
234,NAS1756-24,"""REMOVE BEFORE FLIGHT"" STREAMER",0.0000,0,KEF,13,10,low_sale,0,0
235,P01074-101,"Life Vest,Adult/Child",503.0000,0,KEF,31,10,low_sale,0,0
236,CE00383-1,Filter Heat Sink  Air Supply E/E Compt Sta 520-560,7.0000,0,KEF,33,10,low_sale,0,0
237,232N9003-1,Gasket Pitot Sensor,10.0000,0,KEF,10,10,low_sale,0,0
238,M39029-1-101,Pin,73.0000,0,KEF,14,100,low_sale,0,0
239,BACN10KE3B2CD,Nut Plate,18.0000,0,KEF,8,10,low_sale,0,0
240,BACC30R6,Collar,465.0000,0,KEF,28,100,low_sale,0,0
241,NAS1611-228A,Packing,98.0000,0,KEF,10,100,low_sale,0,0
242,GREASE33TUBE,Grease 33,105.0000,0,KEF,34,50,low_sale,0,0
243,81394-10,Roller,34.0000,0,KEF,48,10,low_sale,0,0
244,REP4MK6-012J,Bearing Rod End Elev P.C.U.,2.0000,0,KEF,9,10,low_sale,0,0
245,3-16SIFZ45PPIWFR,Sheet,0.0000,0,KEF,0,10,low_sale,0,0
246,AS3209-138,Seal    Ring,62.0000,0,KEF,16,100,low_sale,0,0
247,63999-001,Microphone Hand,3.0000,0,KEF,11,10,low_sale,0,0
248,CG1305AB,Compound Potting,3.0000,0,KEF,223,10,low_sale,0,0
249,4812-172,Insert  Insert-Impeller Hous,27.0000,0,KEF,82,10,low_sale,0,0
250,68-269,Packing Packing-Preformed,48.0000,0,KEF,33,100,low_sale,0,0
251,AS12801-149,Ring    Sealpump,30.0000,0,KEF,53,10,low_sale,0,0
252,132050180,ISOPROPANOL ALCOHOL,118.0000,0,KEF,36,10,low_sale,0,0
253,00090-001,Gstkrns Gasket-Rinse System,10.0000,0,KEF,103,10,low_sale,0,0
254,BACN10JC04CD,NUT,1370.0000,0,KEF,43,100,low_sale,0,0
255,2873-750,Seal,3.0000,0,KEF,43,10,low_sale,0,0
256,E01002531511525,Velcro Loop 25mm Light Grey Adhesive,586.0000,0,KEF,247,100,low_sale,0,0
257,NAS1611-116A,Packing,26.0000,0,KEF,1,10,low_sale,0,0
258,AC130-2,SOL GEL PREBOND KIT,0.0000,0,KEF,23,10,low_sale,0,0
259,674-1031-2128,Lens Cap,5.0000,0,KEF,55,10,low_sale,0,0
260,BACB30MY5K3,Bolt,173.0000,0,KEF,61,100,low_sale,0,0
261,BACR15BA5AD6C,Rivet,5.0000,0,KEF,39,100,low_sale,0,0
262,460-400,Seal    Periseal,57.0000,0,KEF,21,10,low_sale,0,0
263,BACR15GA5-10,Rivet   For Rudder,208.0000,0,KEF,21,100,low_sale,0,0
264,M25988-1-146,O-RING,6.0000,0,KEF,21,100,low_sale,0,0
265,BACB30NW10K6,Bolt,316.0000,0,KEF,8,10,low_sale,0,0
266,NAS1149FN432P,WASHER,300.0000,0,KEF,17,100,low_sale,0,0
267,BACB30NX8K5X,Bolt,238.0000,0,KEF,5,10,low_sale,0,0
268,BAC27NCT0176,Decal,10.0000,0,KEF,12,10,low_sale,0,0
269,BACC30M6,COLLAR,1546.0000,0,KEF,21,100,low_sale,0,0
270,MS28775-143,Packing,39.0000,0,KEF,21,100,low_sale,0,0
271,ABS0731A01,Spacer,436.0000,0,KEF,22,10,low_sale,0,0
272,69494J910WE,Packing Packing-Preformed,69.0000,0,KEF,20,10,low_sale,0,0
273,BACB30NW8K7X,Bolt,74.0000,0,KEF,36,100,low_sale,0,0
274,CR3213-6-03,Rivet,732.0000,0,KEF,12,100,low_sale,0,0
275,LJ76101,Hinge   Assy-Bl0cker Flaps,5.0000,0,KEF,30,10,low_sale,0,0
276,J221P905,Packing Packing-Preformed O-,186.0000,0,KEF,11,10,low_sale,0,0
277,M85052-2-8,Clamp,5.0000,0,KEF,6,10,low_sale,0,0
278,BACB30NN4K8,Bolt,0.0000,0,KEF,10,100,low_sale,0,0
279,KPC3-480-325,Pitot Cover,2.0000,0,KEF,25,10,low_sale,0,0
280,740001,Dischrgr Tip  Static  Wing,13.0000,0,KEF,29,10,low_sale,0,0
281,NAS1611-014A,Packing,83.0000,0,KEF,20,10,low_sale,0,0
282,NAS1801-3-8,Screw,578.0000,0,KEF,13,100,low_sale,0,0
283,2233,Bulb,107.0000,0,KEF,23,100,low_sale,0,0
284,AS21009,Bolt    Bihex Hd,12.0000,0,KEF,12,10,low_sale,0,0
285,BACR13CF2A,Relay,10.0000,0,KEF,37,10,low_sale,0,0
286,BACB30NX8K11,Bolt,38.0000,0,KEF,9,100,low_sale,0,0
287,MS35650-302,Nut,551.0000,0,KEF,21,100,low_sale,0,0
288,65-45792-7,Pane Middle  Passenger Window,41.0000,0,KEF,38,10,low_sale,0,0
289,BACR15FV5KE5,Rivet,4.0000,0,KEF,7,10,low_sale,0,0
290,BACP18BC02A04P,Pin,41874.0000,0,KEF,34,10,low_sale,0,0
291,BACB30NM3K4,Bolt,996.0000,0,KEF,26,100,low_sale,0,0
292,MS14101-4,Bearing,18.0000,0,KEF,8,10,low_sale,0,0
293,BACB30NN3K8,Bolt,829.0000,0,KEF,17,100,low_sale,0,0
294,ANN002-1,"Bag, Storage Lifevest Infant",19.0000,0,KEF,102,10,low_sale,0,0
295,BACW10X4,Washer,144.0000,0,KEF,13,100,low_sale,0,0
296,S9412-013,Packing,47.0000,0,KEF,12,10,low_sale,0,0
297,MS16624-4035,Retainer,488.0000,0,KEF,25,10,low_sale,0,0
298,NAS1611-217A,Packing,67.0000,0,KEF,7,100,low_sale,0,0
299,NAS1611-012,Packing,18.0000,0,KEF,0,100,low_sale,0,0
300,05-0007-00,PCB ASSY HEADPHONE JACK RDU,21.0000,0,KEF,150,10,low_sale,0,0
301,UP10630,Pin     Guide,28.0000,0,KEF,15,10,low_sale,0,0
302,P0071-109,Bag,578.0000,0,KEF,33,10,low_sale,0,0
303,NAS1801-04-8,Screw,660.0000,0,KEF,45,100,low_sale,0,0
304,13963-001,Holder  Lamp Holder,3.0000,0,KEF,31,10,low_sale,0,0
305,MS29513-027,Packing,41.0000,0,KEF,28,10,low_sale,0,0
306,KB27122,Seal    Seal,68.0000,0,KEF,10,10,low_sale,0,0
307,68-450,Oring,23.0000,0,KEF,27,100,low_sale,0,0
308,SL2334-3A1,Insert,468.0000,0,KEF,22,10,low_sale,0,0
309,BACB30NX8K10,Bolt,80.0000,0,KEF,8,100,low_sale,0,0
310,SLS5182A3-400-2,Sleeve,900.0000,0,KEF,21,100,low_sale,0,0
311,NAS1611-226A,Packing,35.0000,0,KEF,5,10,low_sale,0,0
312,BACN10YR3CD,Nut,91.0000,0,KEF,42,100,low_sale,0,0
313,CR3522-6-5,Rivet   Cherry Rivet.,495.0000,0,KEF,21,10,low_sale,0,0
314,16-0095-1,Lens    Lens Assy,3.0000,0,KEF,15,10,low_sale,0,0
315,4812-31,Washer  Washer-Thrust,266.0000,0,KEF,56,10,low_sale,0,0
316,BACC30M12,Collar,34.0000,0,KEF,22,10,low_sale,0,0
317,AN970-3,Washer,142.0000,0,KEF,23,100,low_sale,0,0
318,UL19012,"Seal    Ring,0il Weir",5.0000,0,KEF,12,10,low_sale,0,0
319,NAS514P632-7,Screw,2497.0000,0,KEF,24,100,low_sale,0,0
320,NAS1091-36H,Streamer,0.0000,0,KEF,101,10,low_sale,0,0
321,728873-1,Plug,6.0000,0,KEF,36,10,low_sale,0,0
322,BAC27NBY0069,Marker,5.0000,0,KEF,11,10,low_sale,0,0
323,43-667,Bolt,0.0000,0,KEF,12,10,low_sale,0,0
